name,Country,Home Location Type,Reading Score Before Help,Reading Score After Help,School Satisfaction Before Help,School Satisfaction After Help
Michael Moreno,Denmark,City,55.31,62.92,4,4.85085138279341
Gloria Conley,Denmark,Rural,41.14,50.84,1,1.26936893294547
Michael Skinner,South Korea,City,46.22,51.9,3,4.35568230656341
Maria Gates,USA,City,46.68,60.53,5,5.0
William Malone,USA,Rural,47.09,56.22,4,5.0
Ashley Harrison,South Korea,Town,40.0,42.38,4,5.0
David Martin,USA,Rural,80.07,96.5,3,4.01363188563452
Wyatt Carroll,South Korea,City,40.0,38.72,5,5.0
Andrea Chase,NZ,Rural,46.62,51.05,1,1.22667635016748
Dillon Benton,USA,Town,40.0,52.61,3,4.04659579560042
Sonya Green,USA,Town,47.6,60.22,4,4.11745644931648
Richard Cochran,Denmark,Rural,69.49,93.25,2,2.38419277167577
Christy Hernandez,South Korea,City,60.96,71.35,4,5.0
Laura Thompson MD,South Korea,City,100.0,100.0,3,3.39394733169094
David Diaz,USA,Rural,43.84,49.19,5,5.0
Tanya Leach,USA,City,83.34,94.15,3,3.47215145960493
Wendy Taylor,USA,Rural,43.62,54.28,5,5.0
Nicholas Reyes,South Korea,City,41.83,47.59,3,3.61881079022898
Mrs. Hannah Wilson DDS,NZ,Rural,75.48,96.52,3,3.95700829999363
Amy Wood,South Korea,City,98.25,100.0,3,2.96314536645529
Kaitlin Esparza,NZ,Rural,46.86,47.98,4,5.0
Gabriel Patton,NZ,Rural,79.52,100.0,5,5.0
Adam Harrell,USA,City,52.49,58.42,5,5.0
Jessica Freeman,South Korea,City,61.65,72.83,3,3.80288126223081
Brenda Castro,South Korea,City,100.0,100.0,4,5.0
Brittany Allen,South Korea,Rural,68.49,76.74,4,4.44557352304036
Rachel Thompson,USA,City,65.97,81.43,2,1.81109370165411
Ashley Gonzalez,USA,City,66.54,72.49,2,2.9886600540235
William Smith,USA,City,53.46,66.16,3,3.84312913516002
Patricia Taylor,USA,Rural,77.27,100.0,2,2.72013586345813
James Atkins,NZ,Town,40.0,50.31,1,1.19194167167485
Linda Price,USA,Town,70.63,82.42,2,1.75651387141571
Ashley Christensen,USA,Town,58.87,83.41,3,3.6471155544109
Alex Greene,USA,Town,68.37,96.28,5,5.0
Russell Casey,USA,City,46.63,47.44,4,4.81065478101576
Crystal Jackson,South Korea,Town,40.0,41.24,4,4.59200651475393
William Thomas,Denmark,Town,83.43,96.3,3,4.65332177874673
Charles Morgan,NZ,Rural,94.0,100.0,4,4.95472743594919
John Woods,South Korea,City,57.83,71.23,4,4.58222101424547
Dr. Carolyn Carlson MD,NZ,Town,71.4,84.83,2,2.1279119512256
Chelsey Shannon,USA,City,41.58,55.4,2,2.53380562679489
William Haas,USA,City,78.21,97.9,4,4.79975823194898
Daniel Castro,South Korea,Town,64.12,82.73,4,4.32189738158945
Ashley Jackson,USA,Town,43.43,60.65,2,2.52434005765473
David Castillo,Denmark,City,66.05,69.56,4,4.67124799600971
Derrick Baxter,South Korea,Rural,66.7,65.15,2,2.63192941839013
Jennifer Smith,USA,City,65.17,80.36,1,1.12154561970592
Vanessa Wolfe,NZ,Town,53.89,62.57,3,3.83009375197357
Kathleen Johnston,South Korea,Town,78.44,79.59,3,3.26073180355139
Elizabeth Hernandez,South Korea,City,92.11,99.05,4,5.0
David Bowman,NZ,Town,40.0,46.87,4,4.85737570117755
Laura Riley,USA,Rural,90.51,100.0,4,4.92291305964433
Thomas Pearson,Denmark,City,69.19,94.54,3,3.94166130284952
Jeffrey Contreras,South Korea,Rural,62.38,64.39,3,4.65476572605195
Stephen Mcdonald,NZ,Rural,56.48,55.95,2,2.38468013626383
Darlene Munoz,USA,Town,69.98,93.46,3,3.6785055053491
Rebecca Shelton,Denmark,City,40.0,47.11,3,3.6206945729493
Susan Miller,USA,City,58.37,58.24,3,3.89160021419847
Jeffrey Fuller,USA,City,54.62,73.94,3,4.08088578573692
Mark Walker,USA,City,78.87,90.29,5,5.0
Mr. Christopher Lucas MD,South Korea,City,79.94,87.45,1,1.47040547708485
Billy Newton,USA,Rural,40.0,54.34,5,5.0
Angela Anderson,South Korea,City,57.15,67.89,4,4.90549384679059
Mrs. Angela Maldonado,NZ,Town,43.94,55.45,3,3.54584890433385
Brittany Rodriguez,NZ,Town,76.21,83.9,5,5.0
Michael Wallace,South Korea,Rural,60.75,67.93,3,3.35776997007059
Angela Vaughn,USA,Rural,100.0,100.0,4,5.0
Gene Gibson,USA,Rural,54.99,79.83,3,4.27076659411954
Stacy Evans,USA,Rural,84.9,97.05,3,3.92100375627944
Timothy Bradley,USA,City,40.0,62.49,4,4.21267995174531
Nancy Ray,USA,Town,61.22,64.04,4,4.27052754251181
Michelle Hernandez,Denmark,City,54.72,62.15,3,3.11983599539066
Jaime Owen,USA,City,42.45,56.46,4,4.47496668519131
Megan Caldwell,USA,Rural,52.33,63.1,3,3.61934158017421
Taylor Cantrell,South Korea,City,77.13,100.0,2,2.67535165172256
Mr. Daniel Johnson,USA,City,70.65,75.16,3,3.45961512276013
Nicole Chavez,NZ,City,79.0,96.72,1,1.08323656248022
Melissa Baker,USA,Town,50.99,59.66,3,3.57748762218497
Courtney Duncan,USA,City,54.36,67.99,3,3.65028505658237
Sierra Calhoun,USA,Rural,89.64,100.0,1,1.2991940158243
Ashley Moore,USA,Rural,59.14,65.49,5,5.0
Mercedes Williams,USA,Town,56.92,67.18,3,3.81330403943764
Anthony Bowers,South Korea,Rural,87.13,100.0,3,4.1276316209724
Kyle Armstrong,NZ,Town,68.42,77.87,3,3.31257192285269
Mary Hinton,NZ,Rural,91.02,100.0,3,3.09940078326488
Barbara Mullen,USA,Rural,57.97,73.85,2,2.61316726428863
Brooke Lee,USA,Town,67.72,83.96,5,5.0
Phillip Chambers,USA,City,70.44,76.48,2,2.59533405908076
Rhonda Mitchell,USA,City,61.57,68.33,4,3.70393160611558
Courtney Reed,USA,City,59.77,72.75,5,5.0
Joseph Lee,Denmark,City,94.61,100.0,3,3.73935207563778
Nathaniel Wilson,NZ,Rural,77.78,100.0,4,4.90582196621309
Andrew Morton,Denmark,Rural,56.4,70.17,2,2.29697086379805
Tammy Cohen,USA,City,40.0,40.44,4,5.0
John Schultz,USA,Rural,51.24,62.88,3,4.08854327730411
Michael Williams,USA,Rural,40.0,43.87,3,3.63155079549811
Barbara Hunter,USA,Town,84.25,100.0,1,1.23290679148201
Danielle Ward,Denmark,City,68.14,80.32,4,5.0
Samuel Marquez,South Korea,City,52.21,88.72,3,3.54198296977432
Kyle Pennington,NZ,City,40.0,54.34,4,4.72066429684498
Kristin Lee,USA,Rural,40.0,45.39,4,4.95280968171507
Morgan White,NZ,Rural,40.0,47.77,5,5.0
Elizabeth Hale,USA,City,72.37,88.09,5,5.0
Kathryn Cook,South Korea,City,40.0,39.89,2,2.56615879319017
Amy Campbell,USA,City,40.0,52.03,3,3.51271411282415
Sarah Nicholson,South Korea,City,68.7,98.42,2,2.54312391060676
Paula Velasquez,USA,Rural,70.06,85.45,3,3.98499121410924
Edward Jones,NZ,Rural,88.42,95.66,3,3.72680591837313
Joseph Burns,South Korea,Town,80.99,100.0,4,5.0
Brandon Gray,USA,Town,73.35,79.23,4,4.87063683983592
Miguel Harris,USA,City,54.86,56.81,5,5.0
Patrick Steele,NZ,Town,59.1,50.54,1,1.32370326815333
Laura Gentry,South Korea,City,63.45,72.8,3,3.65996501667014
Shannon Wilson,South Korea,Town,57.98,67.57,3,3.9728033008696
Ariel Ramirez,USA,Town,45.29,63.06,4,5.0
Jeffrey Lowery,Denmark,City,44.44,63.12,1,1.22231177031931
Kendra Page,NZ,City,64.4,80.01,3,3.26848112196491
Anita Cook,USA,Rural,58.74,67.83,4,4.45208723256947
John Miller,USA,City,40.0,51.16,4,4.75682298108763
Mitchell Atkins,NZ,Rural,89.79,100.0,4,4.74730879576275
Andrew Morgan,USA,Town,47.48,61.71,4,5.0
Corey Davis,USA,Town,44.19,61.54,3,3.86026481528208
William Nichols,Denmark,City,40.0,44.36,4,4.38368543221363
Bob Green,Denmark,Rural,61.95,81.36,3,3.28291784490971
Anna Wolfe,South Korea,City,40.0,49.15,2,2.20671214376947
Susan Houston DDS,USA,City,46.23,52.18,3,3.67635610057767
James Hurst,USA,Town,100.0,100.0,4,5.0
Daisy Herring,NZ,Rural,49.75,64.26,2,2.76331774714189
Laura Cook,NZ,Rural,67.82,76.53,3,3.17915428025012
Lisa Rivas,NZ,City,55.18,58.86,3,4.1455188742395
Leah Phelps,NZ,Rural,40.0,52.95,2,2.63975462651664
Kevin Jordan,Denmark,City,78.09,100.0,5,5.0
Adam Wyatt,South Korea,City,72.71,94.71,4,4.33519278152761
Eric Douglas,USA,Rural,91.29,100.0,4,4.70994942315483
Morgan Mcbride,Denmark,City,43.5,48.56,3,3.26851765442468
Tricia Smith,NZ,Rural,90.93,100.0,3,3.70844512029455
Gina Carter,South Korea,City,83.67,96.75,4,3.6794987453375
Courtney Singh,USA,Town,83.04,91.52,4,5.0
Christine Fitzgerald,NZ,Rural,66.95,59.49,1,1.16824341371781
Jose Williams,South Korea,Town,41.62,52.12,1,1.17586420869402
Angela Wilkinson,USA,Town,59.56,64.68,3,3.7769581425839
Betty Norman,South Korea,Rural,53.89,68.72,4,5.0
Gregory Baldwin,USA,City,78.37,100.0,4,4.67903675959856
James Wiley,South Korea,Town,60.8,79.84,3,3.95050969370203
Steven Cain,South Korea,Town,53.03,66.08,2,2.58661228590628
Elizabeth Jones,USA,City,76.16,91.32,5,5.0
Daniel Smith,Denmark,Rural,100.0,100.0,3,3.7920241532574
Michelle Wu,USA,Town,100.0,100.0,3,4.16697820345995
Joshua Cole,Denmark,Rural,45.1,61.51,2,2.27351553316047
