Name,Age,Age Group,Country,Handedness,Home Location Type,Sleep,Sleep Group,Tertiary Qualifications,Car,Registration Date,Weight Time 1,Weight Time 2
Debra Rodriguez DVM,22,20 to <30,Denmark,Right,Town,6.5,Under 7 hours,No Qualifications,Mitsubishi,2032-11-01,91.09,92.8560579419422
Alicia Johnson,19,<20,USA,Left,City,7.5,7 to <9 hours,No Qualifications,Volkswagen,2032-05-01,90.53,96.0255034486763
Karen Long,8,<20,USA,Right,Town,6.0,Under 7 hours,No Qualifications,Tesla,2032-02-01,71.61,78.5249120295008
Tim Hopkins,44,40 to <50,Denmark,Right,City,8.5,7 to <9 hours,No Qualifications,Fiat,2032-09-01,96.95,112.190033696667
Ashley Clark,71,70 to <80,NZ,Right,City,2.5,Under 7 hours,No Qualifications,Hyundai,2031-02-01,94.16,111.513852550855
Bruce Blake,22,20 to <30,South Korea,Ambidextrous,City,8.0,7 to <9 hours,No Qualifications,Volkswagen,2032-12-01,92.75,94.0319051416924
Daniel Freeman,45,40 to <50,USA,Right,City,8.5,7 to <9 hours,Undergraduate,Toyota,2030-04-01,96.51,97.3552028318933
Robert Wright,37,30 to <40,USA,Right,City,9.0,9+ hours,Undergraduate,Toyota,2030-10-01,93.99,106.088385543968
John Smith,52,50 to <60,USA,Right,Town,7.0,7 to <9 hours,Undergraduate,Renault,2030-04-01,92.45,98.9831958780381
Emily Wilson,59,50 to <60,South Korea,Right,Rural,8.0,7 to <9 hours,No Qualifications,Suzuki,2031-03-01,96.02,114.398751875168
Dana Moore,82,80+,USA,Right,City,8.0,7 to <9 hours,No Qualifications,Nissan,2031-07-01,93.3,87.6285166453832
Regina Coleman,50,50 to <60,USA,Right,City,9.0,9+ hours,Undergraduate,Mercedes,2032-10-01,91.4,89.4630167718959
Robert Mcgee,63,60 to <70,Denmark,Right,City,7.0,7 to <9 hours,No Qualifications,Volkswagen,2030-03-01,92.99,98.391185451586
Robert Perez,11,<20,NZ,Right,City,8.5,7 to <9 hours,No Qualifications,Audi,2032-07-01,73.67,67.9174735044233
Noah Sanchez,52,50 to <60,USA,Left,Town,8.5,7 to <9 hours,No Qualifications,BMW,2030-09-01,99.58,106.217556905462
Nicole Summers,57,50 to <60,USA,Right,City,5.0,Under 7 hours,No Qualifications,Tesla,2032-01-01,95.05,101.808629775785
Nicholas Lee,85,80+,South Korea,Right,Rural,5.5,Under 7 hours,No Qualifications,Kia,2032-08-01,95.34,112.52730973132
John Duncan,96,80+,Denmark,Left,Rural,10.0,9+ hours,No Qualifications,Citroën,2031-03-01,92.35,98.9754566513907
Tyler Sosa,12,<20,South Korea,Right,Town,7.5,7 to <9 hours,No Qualifications,Honda,2030-01-01,78.63,81.7305197133708
Jill Nelson,49,40 to <50,USA,Right,City,10.5,9+ hours,No Qualifications,Kia,2031-09-01,94.71,97.0656266512911
Mrs. Cheryl Riddle,23,20 to <30,USA,Left,City,8.5,7 to <9 hours,No Qualifications,Tesla,2032-05-01,92.42,98.9319842232571
Sandra Terrell,50,50 to <60,USA,Ambidextrous,Rural,7.5,7 to <9 hours,No Qualifications,Mazda,2030-04-01,94.44,101.594630051226
Joseph Ayala,30,30 to <40,NZ,Right,Rural,8.5,7 to <9 hours,No Qualifications,Hyundai,2030-10-01,92.15,100.087296082458
James Carlson,71,70 to <80,Denmark,Ambidextrous,Rural,6.0,Under 7 hours,No Qualifications,Hyundai,2031-07-01,94.68,100.008591787443
Hunter Meadows,46,40 to <50,South Korea,Right,City,4.5,Under 7 hours,No Qualifications,Toyota,2031-03-01,96.6,87.4756508317605
Jesse Fletcher,52,50 to <60,USA,Right,Rural,6.5,Under 7 hours,No Qualifications,BMW,2032-05-01,94.8,105.658028819971
Max Adams,38,30 to <40,USA,Right,Town,5.5,Under 7 hours,Postgraduate,Renault,2030-01-01,91.2,98.9007000166667
Christopher Wood,47,40 to <50,NZ,Right,Rural,5.5,Under 7 hours,No Qualifications,Audi,2032-07-01,93.06,92.7296852815454
Diane Franklin,66,60 to <70,South Korea,Right,City,7.5,7 to <9 hours,Postgraduate,Hyundai,2030-01-01,96.18,100.166355208105
Brian Hanson,12,<20,USA,Right,City,9.5,9+ hours,No Qualifications,Jaguar,2030-04-01,75.78,81.1210500661684
Tanya Huff,20,20 to <30,USA,Right,Town,6.5,Under 7 hours,No Qualifications,Nissan,2031-08-01,94.61,98.7394980062835
Michelle Graves,56,50 to <60,Denmark,Left,City,7.0,7 to <9 hours,No Qualifications,Rolls Royce,2030-01-01,94.86,96.231874607194
Terrence Watkins,84,80+,USA,Right,City,7.0,7 to <9 hours,No Qualifications,Toyota,2032-05-01,94.86,88.5070761796266
James Rivas,15,<20,Denmark,Right,City,8.5,7 to <9 hours,No Qualifications,Tesla,2030-11-01,83.43,84.1901673716845
Timothy Cunningham MD,79,70 to <80,USA,Right,City,7.5,7 to <9 hours,No Qualifications,Volkswagen,2031-01-01,96.28,102.768134816108
Paul Reed,26,20 to <30,USA,Right,City,6.5,Under 7 hours,No Qualifications,Toyota,2032-03-01,91.54,103.453537400442
Barry King,36,30 to <40,USA,Right,Rural,8.0,7 to <9 hours,No Qualifications,Nissan,2030-04-01,90.79,105.926212607303
Robin Hammond,75,70 to <80,Denmark,Right,City,8.5,7 to <9 hours,No Qualifications,Fiat,2030-01-01,95.77,98.3082892368467
Lee Serrano,66,60 to <70,South Korea,Left,City,6.5,Under 7 hours,Undergraduate,Hyundai,2031-07-01,93.83,110.204378233505
Joseph Diaz,63,60 to <70,South Korea,Right,Rural,7.0,7 to <9 hours,Postgraduate,Citroën,2031-10-01,94.47,106.3769836688
John Bowers,57,50 to <60,South Korea,Right,Town,8.0,7 to <9 hours,Postgraduate,Mini,2032-11-01,96.52,97.2429967573724
Lauren Hamilton,73,70 to <80,South Korea,Left,City,7.5,7 to <9 hours,Undergraduate,Kia,2031-09-01,98.51,109.705557496663
Lori Johnston,18,<20,USA,Left,Rural,10.5,9+ hours,No Qualifications,Toyota,2030-04-01,90.47,110.024826672612
Sharon Hunter,81,80+,USA,Left,Town,7.5,7 to <9 hours,No Qualifications,Tesla,2031-01-01,94.6,101.194104738016
Andre Barry,39,30 to <40,Denmark,Left,City,8.5,7 to <9 hours,No Qualifications,Tesla,2032-09-01,92.35,95.1807896732832
